time_start,time_end,Overcast_clouds,Broken_clouds,Scattered_clouds,Light_rain,Few_clouds,Clear_Sky
2017-10-01,2017-10-02,20,4,0,0,0,0
2017-10-02,2017-10-03,16,6,2,0,0,0
2017-10-03,2017-10-04,11,11,0,2,0,0
2017-10-04,2017-10-05,17,4,2,1,0,0
2017-10-05,2017-10-06,11,6,4,0,3,0
2017-10-06,2017-10-07,12,12,0,0,0,0
2017-10-07,2017-10-08,14,9,1,0,0,0
2017-10-08,2017-10-09,5,6,12,0,1,0
2017-10-09,2017-10-10,3,4,5,0,12,0
2017-10-10,2017-10-11,4,11,4,0,5,0
2017-10-11,2017-10-12,24,0,0,0,0,0
2017-10-12,2017-10-13,22,2,0,0,0,0
2017-10-13,2017-10-14,5,4,8,0,7,0
2017-10-14,2017-10-15,8,1,8,0,3,4
2017-10-15,2017-10-16,6,6,3,0,6,3
2017-10-16,2017-10-17,10,1,8,0,5,0
2017-10-17,2017-10-18,7,7,3,0,5,2
2017-10-18,2017-10-19,12,1,1,0,9,1
2017-10-19,2017-10-20,10,5,1,0,2,6
2017-10-20,2017-10-21,4,9,2,0,8,1
2017-10-21,2017-10-22,7,6,2,0,7,2
2017-10-22,2017-10-23,22,2,0,0,0,0
2017-10-23,2017-10-24,8,5,6,0,5,0
2017-10-24,2017-10-25,24,0,0,0,0,0
2017-10-25,2017-10-26,11,6,3,0,4,0
2017-10-26,2017-10-27,16,3,5,0,0,0
2017-10-27,2017-10-28,13,5,6,0,0,0
2017-10-28,2017-10-29,19,5,0,0,0,0
2017-10-29,2017-10-30,19,5,0,0,0,0
2017-10-30,2017-10-31,10,12,2,0,0,0
2017-10-31,2017-11-01,16,8,0,0,0,0
2017-11-01,2017-11-02,19,5,0,0,0,0
2017-11-02,2017-11-03,16,5,2,0,1,0
2017-11-03,2017-11-04,17,7,0,0,0,0
2017-11-04,2017-11-05,22,2,0,0,0,0
2017-11-05,2017-11-06,4,13,7,0,0,0
2017-11-06,2017-11-07,6,12,4,0,2,0
2017-11-07,2017-11-08,6,5,12,0,1,0
2017-11-08,2017-11-09,4,3,5,0,11,1
2017-11-09,2017-11-10,0,5,13,0,6,0
2017-11-10,2017-11-11,1,11,10,0,2,0
2017-11-11,2017-11-12,17,1,6,0,0,0
2017-11-12,2017-11-13,24,0,0,0,0,0
2017-11-13,2017-11-14,24,0,0,0,0,0
2017-11-14,2017-11-15,20,3,1,0,0,0
2017-11-15,2017-11-16,14,4,6,0,0,0
2017-11-16,2017-11-17,5,10,9,0,0,0
2017-11-17,2017-11-18,17,7,0,0,0,0
2017-11-18,2017-11-19,5,8,11,0,0,0
2017-11-19,2017-11-20,2,17,5,0,0,0
2017-11-20,2017-11-21,11,12,1,0,0,0
2017-11-21,2017-11-22,6,15,3,0,0,0
2017-11-22,2017-11-23,3,14,4,0,3,0
2017-11-23,2017-11-24,8,11,5,0,0,0
2017-11-24,2017-11-25,6,12,6,0,0,0
2017-11-25,2017-11-26,14,8,2,0,0,0
2017-11-26,2017-11-27,14,4,4,0,2,0
2017-11-27,2017-11-28,6,9,6,0,3,0
2017-11-28,2017-11-29,24,0,0,0,0,0
2017-11-29,2017-11-30,13,11,0,0,0,0
2017-11-30,2017-12-01,19,5,0,0,0,0
2017-12-01,2017-12-02,2,13,7,0,2,0
2017-12-02,2017-12-03,24,0,0,0,0,0
2017-12-03,2017-12-04,23,1,0,0,0,0
2017-12-04,2017-12-05,20,4,0,0,0,0
2017-12-05,2017-12-06,0,7,6,0,11,0
2017-12-06,2017-12-07,0,9,9,0,5,1
2017-12-07,2017-12-08,22,2,0,0,0,0
2017-12-08,2017-12-09,15,3,6,0,0,0
2017-12-09,2017-12-10,13,11,0,0,0,0
2017-12-10,2017-12-11,19,5,0,0,0,0
2017-12-11,2017-12-12,21,3,0,0,0,0
2017-12-12,2017-12-13,14,8,2,0,0,0
2017-12-13,2017-12-14,13,8,3,0,0,0
2017-12-14,2017-12-15,9,4,4,0,7,0
2017-12-15,2017-12-16,24,0,0,0,0,0
2017-12-16,2017-12-17,24,0,0,0,0,0
2017-12-17,2017-12-18,15,2,4,0,3,0
2017-12-18,2017-12-19,1,5,5,0,13,0
2017-12-19,2017-12-20,24,0,0,0,0,0
2017-12-20,2017-12-21,19,5,0,0,0,0
2017-12-21,2017-12-22,10,6,2,0,6,0
2017-12-22,2017-12-23,17,7,0,0,0,0
2017-12-23,2017-12-24,11,6,4,0,3,0
2017-12-24,2017-12-25,13,4,2,5,0,0
2017-12-25,2017-12-26,17,0,0,7,0,0
2017-12-26,2017-12-27,15,9,0,0,0,0
2017-12-27,2017-12-28,21,3,0,0,0,0
2017-12-28,2017-12-29,12,6,6,0,0,0
2017-12-29,2017-12-30,18,6,0,0,0,0
2017-12-30,2017-12-31,16,8,0,0,0,0
2017-12-31,2018-01-01,22,2,0,0,0,0
2018-01-01,2018-01-02,24,0,0,0,0,0
2018-01-02,2018-01-03,19,5,0,0,0,0
2018-01-03,2018-01-04,4,6,5,0,9,0
2018-01-04,2018-01-05,7,14,3,0,0,0
2018-01-05,2018-01-06,18,5,1,0,0,0
2018-01-06,2018-01-07,24,0,0,0,0,0
2018-01-07,2018-01-08,18,6,0,0,0,0
2018-01-08,2018-01-09,24,0,0,0,0,0
2018-01-09,2018-01-10,24,0,0,0,0,0
2018-01-10,2018-01-11,15,7,2,0,0,0
2018-01-11,2018-01-12,13,5,6,0,0,0
2018-01-12,2018-01-13,16,6,2,0,0,0
2018-01-13,2018-01-14,20,4,0,0,0,0
2018-01-14,2018-01-15,20,4,0,0,0,0
2018-01-15,2018-01-16,24,0,0,0,0,0
2018-01-16,2018-01-17,19,5,0,0,0,0
2018-01-17,2018-01-18,23,1,0,0,0,0
2018-01-18,2018-01-19,0,14,7,3,0,0
2018-01-19,2018-01-20,8,7,6,1,2,0
2018-01-20,2018-01-21,8,16,0,0,0,0
2018-01-21,2018-01-22,6,18,0,0,0,0
2018-01-22,2018-01-23,3,5,5,9,2,0
2018-01-23,2018-01-24,0,11,4,4,5,0
2018-01-24,2018-01-25,0,7,7,0,9,1
2018-01-25,2018-01-26,0,4,10,0,6,4
2018-01-26,2018-01-27,3,4,6,0,10,1
2018-01-27,2018-01-28,11,4,3,0,6,0
2018-01-28,2018-01-29,11,3,4,0,6,0
2018-01-29,2018-01-30,0,8,8,0,6,2
2018-01-30,2018-01-31,0,9,7,0,8,0
